Time elapsed,Signal,Attention,Meditation,EEG delta, EEG theta,EEG low alpha,EEG high alpha,EEG low beta,EEG high beta,EEG low gamma,EEG mid gamma,Raw,Blink strength
0.0339966,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.0689697,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.106018,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.136993,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.17099,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.204987,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.237976,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.272003,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.306,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.340973,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.373962,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.40799,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
0.440979,0,54,60,354809,87452,8743,16062,30005,13631,15131,60147,,0
